"region","byggår","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"0180C1850","2001-2010",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"0180C1850","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1850","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1860","2001-2010",16,16,16,16,16,16,16,16,16,16,16,16,16,16
"0180C1860","2011-2020",..,..,..,..,4,4,5,5,5,5,5,5,5,5
"0180C1860","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1870","2001-2010",10,10,10,10,10,10,10,10,10,10,10,10,10,10
"0180C1870","2011-2020",..,..,1,1,1,2,3,3,9,9,11,11,11,11
"0180C1870","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,3,2
"0180C1880","2001-2010",19,19,19,19,19,19,19,19,19,19,19,19,19,19
"0180C1880","2011-2020",..,..,..,2,2,2,3,3,3,3,3,3,3,3
"0180C1880","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,6
"0180C1890","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1890","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1890","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1900","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1900","2011-2020",..,..,..,..,..,1,1,1,1,1,1,1,1,1
"0180C1900","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,2
"0180C1910","2001-2010",6,6,6,6,6,6,6,6,6,6,6,6,6,6
"0180C1910","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1910","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1920","2001-2010",5,5,5,5,5,5,5,5,5,5,5,5,5,5
"0180C1920","2011-2020",..,..,..,..,..,..,..,..,6,9,10,11,12,12
"0180C1920","2021-2030",..,..,..,..,..,..,..,..,..,..,..,1,1,1
"0180C1930","2001-2010",7,7,7,7,7,7,7,7,7,7,7,7,7,7
"0180C1930","2011-2020",..,..,..,1,1,1,1,4,3,12,17,17,17,17
"0180C1930","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,1,3
"0180C1940","2001-2010",13,13,13,13,13,13,13,13,13,13,13,13,13,13
"0180C1940","2011-2020",..,..,..,..,..,..,..,1,1,3,3,3,3,3
"0180C1940","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1950","2001-2010",22,22,22,22,22,22,22,22,22,22,22,22,22,22
"0180C1950","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1950","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1960","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1960","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1960","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1970","2001-2010",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"0180C1970","2011-2020",1,1,1,1,2,2,2,2,2,2,2,2,2,3
"0180C1970","2021-2030",..,..,..,..,..,..,..,..,..,..,..,1,1,2
"0180C1980","2001-2010",4,4,4,4,4,4,4,4,4,4,4,4,4,4
"0180C1980","2011-2020",..,1,1,1,1,3,3,3,3,3,3,3,3,3
"0180C1980","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1990","2001-2010",4,4,4,4,4,4,4,4,4,4,4,4,4,4
"0180C1990","2011-2020",..,..,3,3,3,5,5,5,5,5,5,5,5,5
"0180C1990","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2000","2001-2010",3,3,3,3,3,3,3,3,3,3,3,3,3,3
"0180C2000","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2000","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2010","2001-2010",5,5,5,5,5,5,5,5,5,5,5,5,5,5
"0180C2010","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2010","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2020","2001-2010",6,6,6,6,6,7,7,7,7,7,7,7,7,7
"0180C2020","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2020","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2030","2001-2010",5,5,4,4,4,4,4,4,4,4,4,4,4,4
"0180C2030","2011-2020",..,1,1,4,4,22,22,22,22,22,22,22,22,22
"0180C2030","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2040","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2040","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2040","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2050","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2050","2011-2020",..,..,..,..,..,..,..,..,..,1,1,1,1,1
"0180C2050","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2060","2001-2010",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"0180C2060","2011-2020",..,..,..,..,1,1,1,1,1,3,3,3,3,3
"0180C2060","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2070","2001-2010",3,3,3,3,3,3,3,3,3,3,3,3,3,3
"0180C2070","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2070","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2080","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2080","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C2080","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
